1493568000	22.0
1493568023	21.4
1493568235	21.4
1493569999	21.7
1493569999	21.9
1493571600	22.1
1493571677	22.4
1493572424	22.4
1493573449	22.7
1493575103	22.9
1493575109	25.5
1493571600	23.1
1493571677	23.4
1493582424	23.4
1493593449	23.7
1493595103	23.9
1493605109	23.5
1493672600	23.6
1493683677	23.6
1493684424	22.0
1493999104	20.4
1493695449	21.9
1493696103	21.9
1493699104	21.3
1493772600	21.4
1493783677	21.3
1493784424	20.2
1493895449	20.9
1493896103	20.9
1493999104	20.3
1494999104	19.0
